State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Nevada,2005,206623,246089,1551580,13,44,108,63.645,178.843,69.45700000000001,33,148,861,160.84699999999998,603.183,554.939,21,95,421,103.912,387.39,271.20300000000003,4,16,21,19.195,66.758,13.618,11,6,2,62.83,49.775,2.065,15,41,80,74.912,164.84799999999998,51.306,30,68,117,143.60600000000002,277.13100000000003,75.329,25,106,486,120.243,428.973,313.343
New York,2005,1587906,2106543,12383739,84,352,689,52.898,166.93800000000002,55.641000000000005,306,1353,7142,192.407,642.43,576.736,154,794,2947,96.725,376.943,237.953,24,155,273,14.812,73.407,22.082,79,64,12,56.922,63.176,1.659,123,426,595,77.35000000000001,202.385,48.078,232,673,1048,145.80599999999998,319.449,84.601,189,878,3333,119.163,416.882,269.183
Pennsylvania,2005,1029986,1325571,8088579,53,235,434,51.721,177.435,53.707,171,847,4453,165.53699999999998,638.632,550.53,131,544,2073,126.88,410.035,256.28000000000003,15,89,128,14.437,67.329,15.764,53,44,7,58.594,64.705,1.518,68,230,324,66.465,173.602,40.015,142,395,579,137.95499999999998,298.144,71.524,156,624,2483,151.567,470.811,307.00600000000003
Texas,2005,2083455,2674678,13620520,104,429,926,49.852,160.54399999999998,68.005,345,1591,7164,165.523,594.9219999999999,525.948,201,985,3496,96.272,368.406,256.656,43,187,222,20.579,69.998,16.284,94,72,14,51.67,48.641,1.5,116,321,361,55.644,120.136,26.475,242,595,705,116.13,222.424,51.736,243,1133,4238,116.729,423.707,311.139
Alabama,2006,386639,500168,2919719,19,65,156,48.496,130.17999999999998,53.316,58,261,1205,149.648,522.224,412.686,46,194,846,119.558,387.972,289.616,5,25,45,13.287,50.542,15.29,18,15,2,50.085,47.082,1.011,21,57,92,54.082,113.858,31.572000000000003,43,96,163,112.026,192.794,55.699,64,239,1002,164.336,478.203,343.2
California,2006,3251070,4216574,22275311,186,717,1526,57.343,170.077,68.528,505,2478,11703,155.357,587.773,525.363,226,1240,4452,69.56400000000001,294.115,199.847,56,281,389,17.215999999999998,66.745,17.465999999999998,150,133,14,52.316,58.304,1.0510000000000002,221,714,1018,68.116,169.433,45.699,424,1180,1726,130.271,279.85900000000004,77.47999999999999,286,1417,5099,88.12,336.126,228.918
Florida,2006,1389340,1778827,12041147,69,281,720,49.641,158.20899999999995,59.796,233,1052,6732,167.877,591.57,559.122,132,631,2964,94.78,354.577,246.136,23,124,202,16.519,69.97399999999999,16.792,68,56,7,55.108,59.121,0.925,96,311,435,69.34400000000001,175.069,36.145,175,491,760,126.187,276.267,63.109,162,736,3481,116.622,413.478,289.058
Hawaii,2006,99465,126140,819708,6,24,61,59.309,189.226,73.98,14,77,410,140.983,612.007,500.62,7,45,167,70.646,352.94199999999995,203.41,1,7,12,14.106,56.747,14.489,5,4,0,63.343,75.932,0.887,7,20,30,70.50399999999999,156.663,37.207,14,35,47,141.14499999999998,280.289,57.005,10,49,184,100.489,387.747,224.161
Michigan,2006,888059,1095038,6401469,50,209,426,55.798,190.475,66.59,143,741,3758,161.35399999999998,677.1080000000001,587.101,95,457,1617,107.344,417.417,252.534,10,68,93,11.64,61.834,14.58,45,39,4,57.843,78.711,1.219,67,202,317,75.522,184.504,49.523,121,359,517,136.62099999999998,327.784,80.753,118,516,1934,132.438,471.581,302.195
Nevada,2006,211067,243884,1609285,13,43,109,63.25,175.809,68.017,32,147,904,149.985,600.754,561.5830000000001,21,90,435,100.487,368.648,270.38,4,16,27,20.57,66.161,16.926,9,6,1,55.421,54.466,1.356,15,35,72,70.515,142.309,44.613,29,61,120,138.234,249.673,74.31500000000001,25,101,484,118.463,412.928,300.454
